borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
Outside NYC,33.89624591287455,2.6143574093579973,7.7387229143466865,Computer Information Systems,0,1,0,1,0,P
Manhattan,24.591769202473934,1.3368166328995306,5.9729132731490635,Computer Information Systems,0,1,0,1,1,P
Manhattan,26.977601702098312,2.732557557276211,3.401179681957439,Computer Science,0,1,1,1,1,P
Brooklyn,17.940762871918107,3.6906439975828915,12.590949426527356,Computer Information Systems,0,0,0,1,0,P
Brooklyn,23.514525906350503,2.2971151579785802,8.010030601278219,Computer Information Systems,1,0,1,1,1,P
Manhattan,21.61498292159378,3.450723975902876,4.580032678278921,Computer Information Systems,1,1,1,0,0,P
Manhattan,24.81043471843744,2.2671453090307385,3.430719392238399,Computer Information Systems,1,1,1,1,0,P
Outside NYC,20.52181862089262,2.7387156304478824,13.188391214353958,Computer Information Systems,1,1,1,0,1,P
Brooklyn,23.224179348541767,2.7157628309173374,8.522932119396687,Computer Information Systems,0,1,0,0,0,P
Brooklyn,21.355788500865522,3.313359976314553,7.952826884158032,Computer Information Systems,1,1,0,1,1,P
Outside NYC,26.169976843230504,3.805783127004695,2.116981061903702,Computer Science,1,0,1,1,1,P
Manhattan,27.125812081993345,2.938830369776822,5.8098679880390565,Computer Science,1,1,1,1,1,P
Queens,24.795642635960046,3.2062324516321494,3.281529848053546,Computer Information Systems,0,1,0,0,0,P
Brooklyn,25.502582224184028,4.32306641856302,9.587440980945175,Computer Science,1,0,1,1,0,P
Outside NYC,23.706653669487718,2.742674081161381,9.43342382896371,Computer Information Systems,0,0,1,1,0,P
Queens,29.380777653351338,2.956966891868272,2.3897159539379014,Computer Science,1,0,1,1,1,P
Bronx,19.799980737069493,3.0013400814315014,1.0116935137062661,Computer Science,1,1,0,1,0,P
Brooklyn,17.804701426346277,2.943064176138526,9.430877879100587,Computer Information Systems,1,1,1,1,1,P
Outside NYC,21.451455672399803,3.0956589382988295,10.335603456818085,Computer Information Systems,0,1,0,0,0,P
Outside NYC,19.56405049635016,2.5745721668518216,4.783161873036997,Computer Information Systems,1,0,1,1,0,P
Queens,17.3149654683563,2.94130848205986,8.704007549120048,Computer Science,0,0,0,1,1,P
Manhattan,28.59023814836007,2.4323972941762477,5.60330629746722,Computer Information Systems,1,0,0,1,1,P
Bronx,21.41400789670215,2.9426481098249964,5.411078908655574,Computer Information Systems,1,1,1,1,1,P
Outside NYC,29.25471751989146,3.0233772731513953,0.7591266650422339,Computer Information Systems,1,1,1,0,0,P
Queens,17.835472133358117,3.3430455685384732,1.93282572234825,Computer Information Systems,1,0,1,0,0,P
Brooklyn,32.885861201571686,2.6380337485288043,0.6871698441506009,Computer Information Systems,1,0,1,1,0,P
Outside NYC,24.701962668343914,3.525691252192477,5.762155136549301,Computer Information Systems,1,1,1,1,1,P
Staten Island,19.484795659301543,3.5298956766024916,5.022137245344328,Computer Information Systems,0,1,0,1,0,P
Outside NYC,15.782274404512837,3.561897365681467,10.788196671913049,Computer Science,1,0,1,1,0,P
Manhattan,28.578014729030613,3.3055315910052343,9.523607376897514,Computer Information Systems,1,1,1,1,0,P
Manhattan,19.921258628857267,2.9692335966282193,3.530515840480783,Computer Information Systems,0,1,0,1,1,P
Manhattan,21.76080860612504,3.6809089254268823,1.6283791879554688,Computer Information Systems,1,1,0,1,1,P
Manhattan,27.45587626304038,2.658970898177867,0.713280593231028,Computer Information Systems,1,1,1,1,0,P
Bronx,24.79056671071399,3.278448587399935,10.003780046871949,Computer Information Systems,1,1,1,1,0,P
Manhattan,25.804633207758492,3.435259847685711,13.04007643824635,Computer Information Systems,0,0,1,1,1,P
Outside NYC,35.39394863667152,3.741425412166636,5.5503447012992995,Computer Information Systems,0,0,0,1,0,P
Outside NYC,22.11772500425071,2.8372511205036646,12.202093851492991,Computer Science,1,0,1,1,0,P
Bronx,29.30636239844505,2.801521562207401,4.486960001332929,Computer Science,1,1,1,1,0,P
Queens,18.194082335850425,3.5619150457415127,8.40498960965591,Computer Information Systems,1,1,1,1,0,P
Queens,28.189340242765844,2.81578987166502,6.07268708896755,Computer Science,1,0,0,1,0,P
Queens,30.79310748200958,2.7377744854298305,5.716333386710871,Computer Information Systems,1,1,1,0,1,P
Brooklyn,20.376920466979968,2.9251417553503933,1.8235753524104759,Computer Information Systems,1,1,1,1,1,P
Manhattan,25.167786161783738,2.199882001975704,10.868119101833226,Computer Information Systems,1,1,0,0,0,P
Manhattan,24.79471552169154,3.288402131944049,9.570577840091328,Computer Information Systems,1,0,1,1,1,P
Manhattan,29.931790944147984,2.768300780915744,6.839218305060717,Computer Information Systems,1,0,1,1,0,P
Outside NYC,26.55408091097317,2.4995481859013386,6.831598785677414,Computer Information Systems,1,1,1,1,1,P
Queens,27.40134350639192,3.832228126920452,-0.19475417469064027,Computer Science,0,0,1,1,0,P
Outside NYC,19.66927815898691,2.714995050925014,3.1504754454840036,Computer Information Systems,1,1,1,1,1,P
Brooklyn,20.444711378057566,3.5190043824101807,7.127455994856856,Computer Information Systems,1,1,0,1,0,P
Outside NYC,22.062457165385048,3.84925890981104,-1.900912449741404,Computer Information Systems,1,0,1,1,1,P
Outside NYC,18.192439934124884,3.0841865348405295,9.589682270023774,Computer Information Systems,1,1,0,0,1,P
Brooklyn,23.795623943166827,2.4172783871735657,-8.778306919933947,Computer Information Systems,1,1,1,1,1,P
Outside NYC,17.804268700658916,2.989068879106229,-0.341195490885573,Computer Science,0,0,0,1,0,P
Brooklyn,26.328070441584998,3.5219883685838225,7.281130965810794,Computer Information Systems,1,0,1,1,1,P
Outside NYC,21.088537870364167,2.849362770797983,9.667091347327988,Computer Information Systems,1,1,1,1,0,P
Staten Island,21.895023447487567,3.6417881377880406,9.287917441497212,Computer Science,1,1,1,1,0,P
Outside NYC,16.633146451646958,2.053207364657191,11.427375364996252,Computer Information Systems,1,1,1,1,1,P
Brooklyn,17.383994555219214,2.8065241456824124,2.6573229041839648,Computer Science,0,0,1,1,0,P
Outside NYC,24.92129060074426,2.5917841338115184,2.761044645977296,Computer Science,1,0,0,1,1,P
Outside NYC,16.806555036323843,3.751523710997446,4.4241791916318345,Computer Information Systems,0,1,1,1,0,P
Outside NYC,17.03250005563788,2.904104162889674,7.56065705071655,Computer Science,1,1,0,1,1,P
Bronx,25.408379185593216,3.219655083093165,5.224420695071657,Computer Science,0,1,1,1,1,P
Bronx,21.893697967280996,3.9562263680574445,6.755466688007063,Computer Information Systems,1,1,1,1,0,P
Outside NYC,22.19980552905472,2.66046352384338,-1.4283363423088895,Computer Science,1,1,0,0,1,P
Queens,25.048605804806005,3.456417405001754,3.4062593593430788,Computer Information Systems,1,1,1,0,0,P
Queens,16.383624304581144,3.042676581456146,8.750183426948809,Computer Information Systems,0,0,1,1,1,P
Outside NYC,24.291281021328462,3.473460337173789,3.5239039016610225,Computer Information Systems,0,1,1,1,0,P
Outside NYC,23.770634669370082,2.96151070511999,-3.476062935445972,Computer Information Systems,1,1,1,1,0,P
Outside NYC,21.389552973981488,3.636166149019019,9.939895738344031,Computer Information Systems,1,1,1,1,1,P
Brooklyn,28.03520650418905,3.1203510955614826,4.2579966065368025,Computer Science,1,0,0,1,0,P
Brooklyn,20.48882387879252,3.3032000631063294,13.211695129429033,Computer Information Systems,1,1,1,1,0,P
Outside NYC,31.90770807652174,2.780473121852677,8.03379771418344,Computer Information Systems,0,1,1,1,0,P
Outside NYC,24.30813515317112,2.6356046515255707,2.893921682509832,Computer Information Systems,0,1,1,1,0,P
Outside NYC,15.530207805345464,3.124759953121254,7.004263509033557,Computer Science,1,0,1,1,1,P
Outside NYC,22.095349112866256,3.1093133326320284,6.760183611646015,Computer Information Systems,1,1,0,1,0,P
Brooklyn,26.23483177509746,2.730263997111396,5.258630181726071,Computer Information Systems,0,0,1,0,1,P
Bronx,26.174971375785788,2.3918270473244454,3.5292458791233288,Computer Information Systems,0,1,1,1,1,P
Manhattan,17.47716900634001,3.4513986311790963,9.359441874086851,Computer Information Systems,1,1,0,1,1,P
Queens,27.465386624604413,3.455983525802066,4.105133848701851,Computer Information Systems,1,1,1,0,1,P
Outside NYC,21.837189020390934,3.5960111182450363,7.7076349686963,Computer Information Systems,1,1,1,1,1,P
Outside NYC,21.105416285771327,2.675854323109108,2.4840424952276847,Computer Information Systems,1,0,1,0,1,P
Outside NYC,25.133190163848695,3.251405960794092,15.178691515201507,Computer Information Systems,1,0,1,0,1,P
Outside NYC,29.878932558682443,2.7452183059967297,7.625009147314409,Computer Information Systems,1,0,0,1,1,P
Outside NYC,17.464078583410377,2.2666699800375727,-0.08893501119952507,Computer Science,1,1,1,1,0,P
Outside NYC,26.734867597123298,3.638682644644142,3.1830137349365155,Computer Information Systems,1,1,1,1,1,P
Queens,22.392975291836013,3.6710983351882933,-4.184496269315979,Computer Science,1,1,1,1,1,P
Outside NYC,15.052852443276405,3.6664099841227724,4.630288068865696,Computer Information Systems,0,0,1,1,1,P
Brooklyn,20.72504616990184,3.0062559029491265,-1.455486308459471,Computer Science,1,0,0,1,0,P
Outside NYC,17.309019739864834,2.9330867070207782,10.822928120723862,Computer Information Systems,0,0,0,1,1,P
Brooklyn,27.604182384665474,3.141906762526679,-3.748807104614407,Computer Information Systems,1,0,1,1,1,P
Manhattan,23.3463261373631,3.2694812171873253,10.789353293538477,Computer Science,1,0,1,1,1,P
Outside NYC,27.15170337806874,3.3910913397033804,6.650836747914689,Computer Information Systems,1,1,0,1,1,P
Brooklyn,20.245255042264937,3.615599306935354,3.6720161333739787,Computer Science,1,1,1,0,1,P
Queens,18.1442858394175,2.3898617513961415,4.109825872694689,Computer Information Systems,1,1,1,0,1,P
Bronx,16.00462537731459,2.4684321927645434,9.449776729054495,Computer Information Systems,1,1,1,1,0,P
Outside NYC,25.489756038746297,2.908843816938103,7.273026660388161,Computer Science,1,1,0,1,0,P
Outside NYC,24.654428978119267,3.282666627332745,4.551326690903863,Computer Information Systems,0,1,1,0,0,P
Queens,24.132221512635102,3.0723308730624748,-0.8684608004905909,Computer Information Systems,0,1,0,1,0,P
Outside NYC,19.433392607181066,2.7488509106411536,5.589742009236228,Computer Science,1,1,1,1,0,P
Brooklyn,24.46855901539293,2.5690093929114584,8.117879547064081,Computer Science,1,1,1,1,0,P
Queens,19.881253345879365,2.962094447420045,7.985297332622483,Computer Information Systems,1,1,1,1,0,P
Brooklyn,21.62267388776899,3.6202295059221363,3.3974342785826233,Computer Information Systems,0,1,1,1,0,P
