,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
65,Brooklyn,21.147372303402506,2.0225880531235667,5.174861536655859,Computer Information Systems,0,1,1,1,0,P
66,Manhattan,21.05897461191841,3.5681625040489022,15.493440156744668,Computer Information Systems,1,1,0,1,1,P
67,Bronx,23.812347513393505,3.3727191136919017,4.680582703075244,Computer Information Systems,1,1,1,1,1,P
68,Manhattan,18.727832803153987,3.394815929426276,5.33246741291385,Computer Science,0,1,1,0,0,P
69,Outside NYC,18.739712346448293,3.3336840529776985,7.720051482424456,Computer Science,0,1,1,0,1,P
70,Brooklyn,23.938683584756088,2.595393306087366,7.451861263348729,Computer Science,1,0,1,0,1,P
71,Queens,24.776445425720755,3.296371843025528,-0.33340372922499384,Computer Information Systems,1,1,1,1,1,P
72,Outside NYC,23.804450916711115,2.6655277614595168,-1.6315719875575514,Computer Information Systems,1,1,0,1,1,P
73,Outside NYC,25.519631652374045,3.3376349709344666,0.9742446606670789,Computer Information Systems,1,0,0,0,1,P
74,Brooklyn,17.888331742297087,3.5557888468407746,15.525865045397259,Computer Information Systems,1,1,0,1,0,P
75,Queens,24.381197564977683,3.1543855508509093,7.181909334255417,Computer Information Systems,0,1,0,0,0,P
76,Brooklyn,25.615431148214597,3.8358938416863557,5.821240687291832,Computer Information Systems,1,1,1,1,0,P
77,Outside NYC,21.843408565930677,2.8647363990544963,7.157956760118479,Computer Information Systems,1,1,1,0,1,P
78,Outside NYC,27.21859286515152,3.78619134375748,10.543878997564363,Computer Science,1,1,0,1,0,P
79,Staten Island,28.148080634842618,3.26329018195014,1.0096840073934779,Computer Science,1,0,1,0,1,P
80,Queens,22.145744331757836,2.998095868131735,7.77673242261427,Computer Information Systems,1,1,0,0,1,P
81,Outside NYC,18.21245174974977,3.455472702298461,8.211319287585898,Computer Science,1,1,0,1,0,P
82,Bronx,22.26909469037973,3.659653286552276,1.144694295522286,Computer Information Systems,1,1,0,1,1,P
83,Queens,18.151670093162686,2.8307592678466755,3.370036057018229,Computer Information Systems,0,1,1,0,0,P
84,Brooklyn,24.408492550443366,2.001013678914153,7.158550277498513,Computer Science,1,0,1,0,1,P
85,Brooklyn,22.694543500051708,2.6197927476809997,8.120508978001197,Computer Information Systems,1,1,1,1,0,P
86,Brooklyn,22.46722671187817,2.701548773217329,2.7487874876317733,Computer Science,1,1,1,0,1,P
87,Manhattan,22.3408073488064,3.253373544944556,14.868439079190619,Computer Information Systems,1,1,0,0,0,P
88,Brooklyn,26.880025148503055,3.8687003657365073,-1.9497396059508416,Computer Information Systems,1,1,1,1,1,P
89,Outside NYC,18.366749896848262,2.731578591962722,6.111983558952263,Computer Information Systems,0,1,0,1,0,P
90,Outside NYC,21.466153980656166,4.103334120091284,7.322323284933785,Computer Information Systems,1,1,1,1,0,P
91,Outside NYC,20.889933591694497,2.592374834467228,6.586346298855206,Computer Information Systems,0,1,1,0,1,P
92,Brooklyn,21.60164236726899,2.7066746317315733,7.6170527459596045,Computer Information Systems,0,1,0,1,0,P
93,Outside NYC,16.28007951762638,4.0699032241013855,12.081068835137222,Computer Information Systems,1,0,1,0,1,P
94,Brooklyn,24.610556914269868,2.143487603729818,5.262546710962157,Computer Science,1,0,1,0,0,P
95,Outside NYC,25.696802455367827,2.8319436367761788,7.341923519927566,Computer Information Systems,1,1,0,0,1,P
96,Queens,24.141096487813424,3.6735627039503873,0.40871707070315555,Computer Science,0,1,1,1,0,P
97,Bronx,24.52560130115283,3.098991364592649,9.139856538264947,Computer Science,1,1,1,1,0,P
98,Manhattan,23.659454464196223,2.9466805039128405,7.580664371034878,Computer Information Systems,1,1,1,0,0,P
99,Staten Island,21.743074873089665,3.0566138914900143,-1.7294458105769337,Computer Information Systems,1,1,1,0,0,P
100,Brooklyn,23.37602771312882,2.9126792484978683,-5.761555134497657,Computer Information Systems,0,0,0,0,1,P
101,Brooklyn,23.566627540727346,3.226585037901166,8.352472053883155,Computer Science,1,1,0,0,0,P
102,Outside NYC,23.441235506643924,2.2348971061556018,1.2410957163677567,Computer Information Systems,1,1,1,0,1,P
103,Queens,27.502411376765302,3.6861580035615034,8.99251083248294,Computer Information Systems,1,1,0,1,1,P
104,Outside NYC,22.04495819560587,2.2090713880738133,-0.5907990214671974,Computer Information Systems,0,1,0,1,1,P
105,Outside NYC,22.600733015031253,3.0836920799467067,0.3070171795732364,Computer Information Systems,0,0,0,1,1,P
106,Bronx,25.262366880977094,2.832784283737531,9.557411902156277,Computer Information Systems,0,1,0,1,1,P
107,Bronx,24.814456612655036,3.6822916128669796,-1.0167311642386778,Computer Information Systems,1,1,0,1,0,P
108,Bronx,20.08671947078189,3.6823498063789506,4.132062069939222,Computer Information Systems,1,0,1,0,0,P
109,Bronx,28.63176348979618,3.1298709952143837,-0.14481295992010068,Computer Information Systems,1,1,1,0,1,P
110,Brooklyn,23.66388914176092,3.4528946670017278,14.505956338106438,Computer Information Systems,0,0,1,1,1,P
111,Brooklyn,25.042875983787802,2.942880927168221,5.955598989835681,Computer Science,0,0,0,1,1,P
112,Outside NYC,23.352703093368238,3.0469433813608204,10.194053011945734,Computer Information Systems,1,1,0,1,0,P
113,Outside NYC,26.173060062735214,4.00416376098976,8.085355984757939,Computer Information Systems,0,0,0,1,1,P
114,Manhattan,24.998128040201113,3.8239601552560902,0.4710411829045853,Computer Information Systems,1,1,1,0,0,P
115,Manhattan,19.785086057762776,3.2797318871094614,6.278033180118802,Computer Information Systems,1,1,1,1,0,P
116,Outside NYC,21.02775349289577,2.624202857414224,2.392283812743928,Computer Information Systems,1,1,1,0,1,P
117,Brooklyn,23.081471600085955,2.7240592410620854,8.354549855662095,Computer Science,1,0,0,1,1,P
118,Brooklyn,24.156776876195938,3.334388241721395,3.9053416977772137,Computer Science,1,1,1,1,0,P
119,Staten Island,21.691475392552675,2.569586768986275,2.696861866083093,Computer Science,1,1,0,1,0,P
120,Outside NYC,30.08616865677979,3.281392632280614,3.1794981654969248,Computer Information Systems,0,1,1,1,1,P
121,Bronx,21.41932677596068,2.6822138265506386,3.2122617971610548,Computer Information Systems,1,0,1,0,0,P
122,Brooklyn,19.586379250409333,2.304935724316654,2.169637496139799,Computer Information Systems,1,0,1,1,0,P
123,Manhattan,27.24924468202283,3.087162470571485,-0.12381974080037583,Computer Information Systems,1,1,1,1,1,P
124,Brooklyn,22.612036043416474,3.07167202593011,-0.7010888338657306,Computer Science,1,0,1,0,0,P
125,Brooklyn,29.668774019875606,3.0471214223235794,-0.2292868624171973,Computer Information Systems,0,0,1,1,0,P
126,Outside NYC,23.967705719698063,2.529788004142356,13.440192852209371,Computer Information Systems,0,1,1,1,0,P
127,Queens,18.802236404575435,3.5615444042151814,7.542907575929059,Computer Information Systems,1,0,1,0,1,P
128,Outside NYC,19.78707051749654,3.516785734959574,11.541642978368493,Computer Science,1,1,1,0,0,P
129,Outside NYC,26.812506872100418,4.543383967471139,4.707722566081419,Computer Information Systems,0,1,0,1,1,P
130,Manhattan,26.99787863595237,3.408289136938145,-1.194414229052847,Computer Information Systems,1,1,1,1,0,P
131,Outside NYC,21.872766255707507,3.4885917739948495,1.3063586222150771,Computer Information Systems,1,1,0,1,1,P
132,Outside NYC,21.186412620491772,3.6172822446994792,-7.815221329878284,Computer Science,0,1,1,0,1,P
133,Outside NYC,21.93975238432771,3.6206223853838404,-1.8302716870350544,Computer Information Systems,1,0,1,1,1,P
134,Brooklyn,24.083880990616144,3.2400677869222454,6.688310961600544,Computer Information Systems,1,1,1,1,0,P
135,Outside NYC,30.517700671022894,2.9967965155605327,14.924436657844565,Computer Information Systems,1,0,1,0,1,P
136,Outside NYC,22.177285965856683,2.906525246154369,3.410176910768712,Computer Information Systems,1,1,1,0,1,P
137,Outside NYC,25.2646618876137,3.692948486084138,14.798762575343993,Computer Science,0,1,1,0,0,P
138,Manhattan,23.311125389679823,3.237234322502632,10.946875471665914,Computer Information Systems,1,0,1,0,0,P
139,Brooklyn,20.690339459682015,2.8891000257536423,1.7250493283162198,Computer Information Systems,1,1,1,1,0,P
140,Outside NYC,19.94941955770888,2.1026240017103053,3.656953124321065,Computer Information Systems,1,1,0,1,0,P
141,Bronx,26.98193050463196,3.6437738639868993,15.849777258913265,Computer Science,1,1,1,0,1,P
142,Brooklyn,25.15919934781492,3.2334743829793853,2.1149268585241834,Computer Information Systems,1,1,1,1,1,P
143,Outside NYC,21.479647804028513,2.4579109789085702,5.373919773930917,Computer Information Systems,0,1,1,1,1,P
144,Manhattan,23.90956785051265,2.1561782301374164,-5.252981354891347,Computer Information Systems,1,1,0,1,1,P
145,Outside NYC,24.561139030351928,3.2960812910491333,6.458639254744771,Computer Information Systems,0,0,1,1,0,P
146,Outside NYC,17.101732196476327,3.4228073091324873,8.414536311142985,Computer Information Systems,1,0,0,1,1,P
147,Bronx,21.1780874094683,2.9968473029585194,4.304372316120247,Computer Information Systems,0,1,1,1,0,P
148,Outside NYC,22.340123662587196,3.502854305477566,3.4776337706247284,Computer Information Systems,1,1,0,1,0,P
149,Manhattan,24.811722381437967,2.7919192588361312,0.8211130054156639,Computer Information Systems,1,1,1,1,0,P
150,Outside NYC,28.5442042049942,3.217014177681601,4.14495042015042,Computer Information Systems,1,1,0,1,1,P
151,Outside NYC,22.858571986221207,2.1006928006957173,0.4209588354790297,Computer Information Systems,0,1,1,1,1,P
152,Bronx,24.692737487094444,3.4794197045303616,12.826371513439339,Computer Information Systems,1,0,1,1,0,P
153,Manhattan,21.934203120726604,3.0855581174016184,4.961655292368528,Computer Information Systems,1,1,1,0,1,P
154,Outside NYC,28.614445100105968,2.9920269278449245,4.4491192309364465,Computer Information Systems,1,0,1,0,1,P
155,Queens,22.33821725815551,3.346249255423314,5.643014262195659,Computer Information Systems,1,1,0,1,1,P
156,Queens,23.634488528473774,2.830343335195187,4.998461792346392,Computer Information Systems,1,1,0,1,1,P
157,Queens,30.196425981220724,2.721550402727121,5.541836624932255,Computer Information Systems,1,1,1,0,0,P
158,Manhattan,18.52360488818271,3.5035846845853,9.877530364800682,Computer Information Systems,1,1,1,1,1,P
159,Bronx,20.662579989956296,3.867760152050616,7.502506716962348,Computer Information Systems,1,0,0,1,1,P
160,Brooklyn,24.278922356830194,2.5553980385726716,15.690985354518807,Computer Science,0,0,0,0,0,P
161,Brooklyn,17.883737373768554,5.060217427454219,6.803010624528183,Computer Science,1,0,0,0,1,P
162,Brooklyn,29.949978186317765,2.561080872639721,12.040326438219056,Computer Information Systems,1,1,1,1,1,P
163,Outside NYC,18.081897276735823,3.5243173291701115,8.491249498535918,Computer Information Systems,1,1,0,1,0,P
164,Outside NYC,20.105078274251156,2.9129785760784337,6.670712710308001,Computer Information Systems,0,1,1,0,0,P
165,Outside NYC,22.196986110533548,2.4897517295509592,3.5913956371006424,Computer Information Systems,0,1,0,0,0,P
166,Bronx,21.625924605619755,2.6181402695354645,6.568563666269619,Computer Information Systems,0,0,0,1,0,P
167,Queens,30.116535937029656,3.433371793814973,12.441472804732449,Computer Science,1,1,1,0,0,P
168,Outside NYC,27.757816960744655,2.237859928161914,11.309027435191316,Computer Information Systems,1,1,0,0,1,P
169,Queens,23.031983819544784,3.1515553302273527,9.798278366803537,Computer Information Systems,1,1,1,0,0,P
170,Queens,20.353157081526696,3.168017077455427,9.055748162168113,Computer Information Systems,1,1,1,1,1,P
171,Outside NYC,25.89558913089036,3.6007910654350352,7.897155739409195,Computer Science,1,1,0,1,1,P
172,Brooklyn,23.111439599575696,2.640369681935369,0.6905792830214601,Computer Science,1,0,1,1,0,P
173,Outside NYC,21.809579902562607,2.5361807617702423,4.27861168519059,Computer Information Systems,1,0,0,1,0,P
174,Brooklyn,25.4776495792472,3.778133382275026,6.634158154295712,Computer Information Systems,0,1,0,1,1,P
175,Outside NYC,21.685650532486537,2.2899753602393327,3.660135179071694,Computer Science,1,1,1,1,1,P
176,Outside NYC,18.148457556708117,3.157056870494273,0.13519737889920336,Computer Information Systems,1,0,1,1,0,P
177,Outside NYC,20.44831921301021,3.544115531478914,7.36899369910056,Computer Information Systems,1,0,1,1,1,P
178,Brooklyn,21.408908716843584,2.798075201011034,6.2691009735258865,Computer Information Systems,1,1,1,1,1,P
179,Brooklyn,24.844044545508616,2.3426055545619224,3.981850590878384,Computer Information Systems,0,1,1,0,1,P
180,Brooklyn,19.58061681646553,2.476717020682843,9.900187422796133,Computer Information Systems,1,1,0,0,1,P
181,Bronx,23.067326089854934,4.519984051240307,8.549881505989354,Computer Information Systems,0,1,0,0,0,P
182,Outside NYC,17.78559902579234,1.959333938167726,5.587311291525148,Computer Information Systems,0,1,1,1,1,P
183,Brooklyn,25.69005265786759,2.1771192140900717,2.838127085052745,Computer Information Systems,1,1,1,0,0,P
184,Bronx,26.06255746934139,4.293135946549942,8.212719694266841,Computer Information Systems,1,1,0,1,0,P
185,Queens,22.509562520660257,3.4163171346318744,6.257648311984164,Computer Information Systems,1,1,1,1,0,P
186,Outside NYC,27.60421948898803,2.996590375685103,5.211371973217151,Computer Information Systems,1,1,0,1,1,P
187,Outside NYC,22.937303139619086,2.82105885097881,9.512109746015076,Computer Science,0,1,1,0,0,P
188,Outside NYC,21.760284853143293,2.7649695189609496,0.06208367080608035,Computer Information Systems,1,1,1,1,1,P
189,Bronx,17.381012300086557,3.0578660631484005,18.08143714224847,Computer Information Systems,1,1,0,1,0,P
190,Brooklyn,21.932069237859423,2.928486433320321,10.419543976492813,Computer Information Systems,1,0,1,1,1,P
191,Outside NYC,25.62912009569886,2.6109004859849283,2.17097307648977,Computer Science,1,1,0,1,0,P
192,Brooklyn,20.013210141420927,3.008821243629163,5.55312542904953,Computer Information Systems,1,1,1,0,0,P
193,Outside NYC,17.195612269186782,2.920664985654053,-0.3162702829798967,Computer Information Systems,1,1,0,0,1,P
194,Brooklyn,25.220678988408864,2.7820781420952496,9.734042914274678,Computer Information Systems,1,1,1,0,0,P
195,Bronx,27.130506876287335,3.5908844144205467,16.1405158684085,Computer Information Systems,0,1,0,0,1,P
196,Manhattan,16.269180158558374,2.2588888958032007,3.532729277085984,Computer Information Systems,1,1,0,0,1,P
197,Bronx,21.66617055973703,3.672041109587853,-2.1008122003336602,Computer Information Systems,1,0,1,1,1,P
198,Queens,23.252697276496647,3.012561686313594,8.221578055334394,Computer Science,1,1,0,1,0,P
199,Brooklyn,22.214525227835647,2.893452882196664,2.6623381775333383,Computer Science,1,1,1,1,0,P
200,Outside NYC,25.41877169055297,2.7736881362977073,-1.6382363088263112,Computer Information Systems,1,1,0,1,0,P
201,Outside NYC,20.144781308724323,4.307392001176455,8.119914116154126,Computer Information Systems,1,0,0,0,0,P
202,Outside NYC,23.560511396082898,3.397786491640516,14.824507921783882,Computer Science,0,0,1,1,0,P
203,Brooklyn,21.369531524024648,2.721217097235001,8.414933844074616,Computer Information Systems,0,1,0,1,0,P
204,Outside NYC,29.776846820925257,4.014051134686984,-5.282085633482733,Computer Information Systems,0,1,0,1,0,P
205,Outside NYC,22.078443090058904,2.867098061704759,4.0244790739029686,Computer Information Systems,0,1,1,1,0,P
206,Outside NYC,20.72280154394215,2.560280027813482,-1.4720547995599453,Computer Information Systems,1,1,0,1,1,P
207,Bronx,19.68920224421696,3.5916810078866623,8.944735691381998,Computer Information Systems,1,1,0,0,1,P
208,Outside NYC,25.990956038164796,2.8939663472256716,9.663516812005316,Computer Science,0,1,1,1,0,P
209,Manhattan,24.756129726264717,1.2904385426005014,8.755172279983313,Computer Information Systems,0,1,1,1,1,P
210,Outside NYC,23.993186408105604,3.145529411772165,11.111621206454082,Computer Information Systems,1,1,1,1,0,P
211,Outside NYC,25.726102816030775,2.790335011110025,0.3004900957524237,Computer Information Systems,0,1,1,1,0,P
212,Brooklyn,22.791999125913396,3.1665383585770357,-2.1458914418415684,Computer Science,1,1,1,1,1,P
213,Manhattan,21.49875747160979,2.6700771618594885,19.241706643391726,Computer Science,1,1,1,1,0,P
214,Brooklyn,21.966443447327272,2.2393085949517073,1.502767041693354,Computer Information Systems,1,1,1,0,0,P
215,Outside NYC,24.35165595387252,2.5495671517017255,1.9516771924907754,Computer Science,1,1,1,1,1,P
216,Brooklyn,26.91872893458967,2.6672394862222095,-0.7566840703187285,Computer Information Systems,1,0,0,0,1,P
217,Outside NYC,17.91628594453216,3.4946437410464095,-6.460750441322499,Computer Information Systems,0,0,1,0,0,P
218,Brooklyn,23.824467925898247,3.2739120570054343,9.285065727774596,Computer Information Systems,1,0,0,1,1,P
219,Bronx,22.494590103241727,3.746101690680021,3.0077220347350195,Computer Science,1,0,1,1,1,P
220,Outside NYC,27.751518255828177,2.8494994945742826,4.791874223864188,Computer Information Systems,1,1,0,1,1,P
221,Brooklyn,21.783009704809217,2.908739704383395,1.6076479951914528,Computer Information Systems,0,0,1,0,1,P
222,Outside NYC,16.759017229650173,2.868207357591034,2.2642471338867587,Computer Information Systems,1,1,0,0,1,P
223,Outside NYC,25.72939483929534,3.1971233397184164,1.4077192401183352,Computer Science,1,0,0,1,1,P
224,Outside NYC,22.225118335985837,2.6648657971209473,2.1764283003860054,Computer Information Systems,0,1,0,1,0,P
225,Manhattan,29.598813806613116,2.534100890478385,-0.9071796999881894,Computer Information Systems,1,1,0,0,1,P
226,Outside NYC,26.979808453267555,2.4200617749680546,-1.566510817946197,Computer Science,1,1,1,1,0,P
227,Outside NYC,20.61312820957528,2.689810742949006,9.073313189700002,Computer Science,1,1,1,0,1,P
228,Queens,28.48936095954595,3.0667427688268196,5.221199781800984,Computer Information Systems,0,0,0,0,0,P
229,Outside NYC,22.14082080312561,3.1416703919088746,3.945071004158176,Computer Information Systems,1,1,1,0,0,P
230,Outside NYC,28.2021154778188,3.2925844638713997,11.690151867626367,Computer Information Systems,1,1,1,0,1,P
231,Brooklyn,20.2056349830472,4.514521966464376,9.025978971434503,Computer Information Systems,1,1,1,1,0,P
232,Manhattan,19.26521993263232,2.8170041981378193,-3.328492921579432,Computer Information Systems,1,1,1,0,1,P
233,Outside NYC,26.84875873583136,2.9167163774846037,13.507530791567447,Computer Science,1,1,0,1,0,P
234,Brooklyn,31.61441331080386,3.5089852789391887,5.096224694956213,Computer Information Systems,0,0,0,1,1,P
235,Outside NYC,19.530706464283938,2.5198154768800265,9.563674463069887,Computer Information Systems,0,0,1,0,1,P
236,Outside NYC,25.512231104306206,3.0686928274154974,-1.1274676527004974,Computer Information Systems,0,0,1,1,0,P
237,Manhattan,19.40559317174136,3.2279187707205557,4.79332755623047,Computer Information Systems,1,1,1,1,0,P
238,Bronx,27.1726740642249,2.168396102845999,6.581831502244033,Computer Science,1,1,1,1,1,P
239,Manhattan,16.52236163311432,3.2801833762538393,8.957170022812674,Computer Information Systems,1,1,1,1,0,P
240,Outside NYC,23.338489770260274,3.1749856167865893,3.0344921680618095,Computer Science,1,0,1,1,0,P
241,Outside NYC,27.483190359332426,2.7458868198044892,4.604373570122838,Computer Information Systems,1,1,0,0,1,P
242,Outside NYC,24.749522971913265,3.0538002059539466,6.138242026863263,Computer Science,1,0,0,0,0,P
243,Staten Island,21.1955112794586,3.6393664514213464,5.629549198584677,Computer Science,1,1,0,1,1,P
244,Brooklyn,21.831785303729138,3.4764237580606556,7.174902986110998,Computer Information Systems,0,0,0,0,0,P
245,Queens,22.229404702945885,3.553362937956907,5.926156282906491,Computer Information Systems,0,1,0,1,1,P
246,Bronx,20.83618376116063,2.7505419493099086,15.05993297478616,Computer Information Systems,1,1,0,0,1,P
247,Queens,17.66415436715694,2.6469520112331306,8.41580895457125,Computer Information Systems,0,1,1,0,0,P
248,Outside NYC,26.669226022799695,3.0033890407663635,-0.4081900203582718,Computer Information Systems,1,1,1,1,0,P
249,Bronx,28.7405477331427,3.5889426870971026,3.266407380400908,Computer Information Systems,0,1,1,1,1,P
250,Manhattan,21.31110541621809,3.408943471785906,9.491072172807268,Computer Information Systems,1,1,0,1,0,P
251,Outside NYC,23.522238772592733,2.695494024936342,2.965130352382411,Computer Information Systems,1,1,0,0,1,P
252,Brooklyn,22.39012956573665,2.126030927791011,2.5591899839890218,Computer Information Systems,0,0,1,0,0,P
253,Bronx,18.96448564369778,4.47614600216434,5.89940618011569,Computer Information Systems,0,1,1,0,0,P
254,Outside NYC,24.449874380333156,2.799490648060491,9.206776371787626,Computer Information Systems,1,0,0,1,1,P
255,Brooklyn,17.660680445499917,3.4049332205085685,2.290169818021134,Computer Information Systems,1,0,1,0,1,P
256,Queens,25.011439749229947,2.409908344585948,0.9207218648133688,Computer Information Systems,0,0,1,1,1,P
257,Outside NYC,24.813292538259542,2.7775524646343257,8.86774932002209,Computer Information Systems,0,1,0,1,1,P
258,Staten Island,23.602742937743866,3.3458331314486207,-2.7854148517566895,Computer Information Systems,0,1,0,1,1,P
