index,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
7343,Brooklyn,27.315175249678635,2.5090174763410062,19,Computer Science,0,0,0,1,1,DWFI
4123,Outside NYC,26.984908752313466,2.4917726469533843,4,Computer Science,1,0,1,1,1,DWFI
16913,Bronx,25.704863334837107,3.18086302001058,2,Computer Information Systems,1,0,0,1,1,P
5047,Staten Island,21.85756757261556,2.823034662876288,15,Computer Information Systems,0,1,0,1,1,DWFI
8082,Brooklyn,19.19086685703079,2.710341635795862,16,Computer Information Systems,1,1,0,1,0,DWFI
14941,Brooklyn,23.41796848977608,2.0367151437839097,12,Computer Science,1,0,0,0,0,DWFI
8884,Brooklyn,27.266479477893167,3.599232176801846,2,Computer Science,1,1,1,0,0,P
16400,Queens,28.5949852773847,3.4935725765045182,3,Computer Information Systems,1,0,1,1,0,P
12649,Outside NYC,26.61063557491828,2.538794103448982,15,Computer Science,0,1,0,0,1,DWFI
2297,Manhattan,26.889415342960724,3.9822630211826593,5,Computer Information Systems,1,0,0,0,1,P
12409,Queens,28.235357001151097,2.871786322285815,16,Computer Information Systems,0,1,1,1,0,DWFI
5508,Outside NYC,19.679134499915147,2.2824696577512418,11,Computer Information Systems,0,0,1,1,1,DWFI
477,Bronx,25.638177745036888,2.90029337568112,4,Computer Science,1,1,1,0,1,P
5673,Brooklyn,24.669572817317583,3.2806052909888184,3,Computer Information Systems,0,0,1,0,0,P
3279,Manhattan,24.433459166561025,2.8655181668948786,1,Computer Information Systems,0,0,1,1,0,P
3396,Queens,24.52585859599952,4.005503230132375,1,Computer Information Systems,1,1,1,0,1,P
11067,Bronx,23.375368330327667,2.8015770278634484,2,Computer Information Systems,1,1,0,0,1,P
3848,Outside NYC,28.38340165841318,4.380553813437858,7,Computer Information Systems,1,0,0,1,0,P
11569,Manhattan,28.371968988233363,2.7678883944437795,15,Computer Information Systems,1,0,1,1,1,DWFI
5100,Queens,25.241251265459518,3.1272018082208217,3,Computer Science,0,1,1,0,0,P
10470,Brooklyn,17.605460050639035,2.0925745268035483,3,Computer Information Systems,1,1,1,0,0,P
168,Brooklyn,18.281757888783467,3.5508285095538343,4,Computer Information Systems,0,1,1,0,0,P
9282,Outside NYC,20.47545079866885,2.9179432822196936,17,Computer Information Systems,0,1,1,1,1,DWFI
4972,Queens,20.724550744224352,3.407638766603308,7,Computer Information Systems,1,1,0,0,0,P
75,Outside NYC,22.29107670368656,3.260768902327244,1,Computer Information Systems,1,0,1,0,0,P
4817,Outside NYC,23.36233284242452,2.57312450094448,9,Computer Science,0,0,0,0,1,DWFI
14247,Bronx,22.64508640614604,2.9838592025149477,19,Computer Information Systems,0,1,1,1,1,DWFI
7796,Bronx,21.425321436138915,2.908105916082347,18,Computer Science,1,1,1,1,1,DWFI
1820,Queens,25.19194658641504,3.342449027571674,2,Computer Information Systems,1,1,1,1,0,P
16253,Outside NYC,18.22074793242536,3.69331721400212,3,Computer Information Systems,0,0,1,0,0,P
11517,Brooklyn,21.586733693304737,2.4555303615901667,18,Computer Information Systems,0,1,0,1,1,DWFI
686,Brooklyn,14.235700416342478,2.7092980564602622,2,Computer Information Systems,1,1,0,0,1,P
6176,Manhattan,28.240202099380536,3.450885071800149,11,Computer Information Systems,1,1,1,0,1,DWFI
8450,Manhattan,15.715423283130706,3.638629875654461,6,Computer Information Systems,1,0,1,1,0,P
954,Outside NYC,20.61072272509213,3.236556370928672,4,Computer Science,0,1,1,0,0,P
12189,Outside NYC,24.199618320721235,2.128296797724699,11,Computer Science,0,1,0,1,0,DWFI
9019,Queens,21.210014038653146,1.5590155235429377,11,Computer Information Systems,0,1,1,1,1,DWFI
8389,Outside NYC,20.15548732079268,2.773392420860189,11,Computer Science,1,1,1,1,0,DWFI
14501,Queens,14.768258151506496,2.172432347551541,13,Computer Information Systems,0,1,1,1,1,DWFI
4649,Manhattan,17.902861998915277,3.102093015192847,7,Computer Science,0,1,1,1,1,DWFI
11410,Outside NYC,21.11311108952078,2.394472762137744,12,Computer Information Systems,1,0,1,1,1,DWFI
8886,Manhattan,26.785159674263813,3.124665950704713,4,Computer Information Systems,1,0,0,0,1,P
1281,Bronx,28.20035601012306,3.1047011205663164,5,Computer Science,1,1,0,0,0,P
3137,Outside NYC,20.48367469283737,3.540945323933116,3,Computer Information Systems,1,0,1,0,1,P
12663,Outside NYC,24.085179318827223,2.76709357021445,11,Computer Science,0,0,0,0,1,DWFI
6164,Outside NYC,18.981341731063026,2.4589617695254686,5,Computer Information Systems,1,0,0,0,1,P
13230,Outside NYC,26.991793964162987,2.712964788184939,2,Computer Science,1,0,1,1,0,P
3348,Bronx,25.23305972803,3.133302351874313,4,Computer Information Systems,1,1,1,0,0,P
5102,Brooklyn,18.66418006897497,2.713800422481871,4,Computer Science,1,1,0,0,0,P
16797,Brooklyn,24.67525088609336,3.20447764096913,3,Computer Science,1,0,1,0,0,P
14655,Manhattan,21.73981425258679,3.27522700062704,18,Computer Science,1,1,1,0,0,DWFI
10628,Brooklyn,20.51601037990678,2.4609080746243106,2,Computer Science,1,1,0,1,0,P
993,Outside NYC,19.755572737403508,3.4907500063224544,4,Computer Science,1,1,0,0,0,P
12760,Brooklyn,24.22420569068868,2.362839055080066,4,Computer Science,0,1,1,1,0,P
11096,Staten Island,23.751208200552917,2.6233320064336034,15,Computer Information Systems,0,0,1,1,1,DWFI
6988,Outside NYC,21.26150018512485,3.5364625739662072,1,Computer Science,0,1,1,1,0,P
5135,Outside NYC,28.271938632779595,3.1304636247788,2,Computer Information Systems,1,1,1,0,1,P
16452,Brooklyn,28.38479755705119,3.0376010036161425,4,Computer Information Systems,1,0,0,1,0,P
2316,Brooklyn,30.326888306902468,3.080463045681848,2,Computer Information Systems,1,1,0,0,1,P
437,Outside NYC,25.852907884901303,3.0168883850532278,2,Computer Science,0,1,1,0,0,P
1807,Queens,26.825924981870237,2.6098021340159008,3,Computer Information Systems,1,1,0,0,1,P
7589,Outside NYC,22.725837911594358,2.218602759209885,18,Computer Information Systems,1,1,1,1,1,DWFI
13822,Outside NYC,26.35413766048889,1.9797046836201804,12,Computer Information Systems,0,1,1,1,0,DWFI
11068,Brooklyn,25.008779024014668,2.8550880573311,3,Computer Information Systems,0,1,0,0,1,P
16407,Queens,11.585633138643306,3.3260264936462285,5,Computer Information Systems,1,1,1,0,1,P
834,Bronx,24.91633819051978,2.3205942070123973,1,Computer Information Systems,1,1,0,1,0,P
16490,Manhattan,17.442588789576973,2.824381017717208,9,Computer Information Systems,0,1,1,1,1,DWFI
2617,Outside NYC,24.442831468397788,2.909366636781154,4,Computer Information Systems,1,0,1,0,1,P
15299,Outside NYC,22.02923616466161,3.036187541927659,5,Computer Information Systems,0,1,0,0,0,P
12665,Outside NYC,21.183659566309327,2.8283586015589965,10,Computer Information Systems,0,0,1,1,1,DWFI
5449,Outside NYC,18.038820406229565,4.147184529157781,3,Computer Information Systems,1,0,1,0,0,P
836,Outside NYC,22.80814134796504,3.129809287048241,4,Computer Science,1,1,0,1,1,P
1132,Manhattan,27.618667526398077,2.7687963201451677,2,Computer Science,1,0,1,0,1,P
6289,Brooklyn,23.425673317390164,2.786295424850916,2,Computer Information Systems,1,0,1,0,0,P
15371,Queens,20.183101806669704,3.517373634942451,16,Computer Science,1,1,1,0,1,DWFI
7220,Brooklyn,19.10681399563807,3.7174523289531622,2,Computer Science,1,1,1,1,0,P
58,Outside NYC,24.391614990255896,3.207823684738495,4,Computer Information Systems,0,1,0,0,1,P
15653,Manhattan,23.048522666120213,3.07194112252271,2,Computer Information Systems,1,0,1,1,0,P
1136,Manhattan,19.9233169286496,2.4344234841198618,3,Computer Science,0,0,0,0,0,P
2564,Brooklyn,26.14180986385593,2.6096907807012752,4,Computer Information Systems,1,1,0,1,1,P
6841,Outside NYC,21.886774546978344,2.842762658723144,6,Computer Science,1,0,1,1,0,P
2007,Queens,21.541301205538858,3.3682056849049267,3,Computer Science,1,0,0,0,1,P
12923,Bronx,22.917347029937588,2.969699956180924,9,Computer Science,0,1,0,0,1,DWFI
1979,Brooklyn,15.77392985203254,2.3234255602486944,1,Computer Science,0,0,1,0,0,P
4589,Brooklyn,18.6040821106277,3.0371802410668,11,Computer Information Systems,0,1,0,1,1,DWFI
13671,Brooklyn,23.21449488384884,3.3079013855100627,4,Computer Science,0,1,1,1,1,P
9318,Outside NYC,27.848709619410595,3.0476890778650643,20,Computer Information Systems,1,1,0,1,1,DWFI
9291,Outside NYC,26.41744015912625,1.8005759158394876,14,Computer Science,1,1,0,1,1,DWFI
5387,Outside NYC,29.147155777452248,2.823492123177576,10,Computer Information Systems,0,1,0,1,1,DWFI
1462,Outside NYC,22.76565834658378,3.626895959654065,2,Computer Science,1,0,0,0,0,P
16997,Outside NYC,22.23047447395565,3.2908907320083105,4,Computer Science,0,1,0,0,1,P
7921,Outside NYC,16.556838220098463,3.1623447386452708,15,Computer Information Systems,0,1,0,1,1,DWFI
8296,Outside NYC,24.952705131967267,2.207245943119972,13,Computer Information Systems,0,1,0,1,1,DWFI
13685,Outside NYC,18.706758786684155,2.251084443252719,16,Computer Information Systems,0,1,0,1,1,DWFI
11515,Queens,13.720085456295095,3.2127229369570527,2,Computer Information Systems,1,0,1,1,0,P
4365,Bronx,19.53942854128755,2.71523589554349,1,Computer Information Systems,1,0,1,0,1,P
14402,Bronx,21.530226455565877,3.4812973697994263,4,Computer Information Systems,1,1,0,1,1,P
13280,Brooklyn,22.507481612862183,3.340659951686624,4,Computer Information Systems,1,0,1,0,1,P
5279,Outside NYC,19.00335301551072,2.122950047017233,2,Computer Information Systems,1,0,1,0,0,P
13505,Brooklyn,22.795730789047177,2.4400566080879607,17,Computer Information Systems,0,0,1,1,0,DWFI
5177,Outside NYC,24.78600792286549,1.928166888678928,2,Computer Information Systems,1,0,0,1,0,P
